batch,growth_quantum_steps,unmaterialized_logical_rows_pct,allocated_serving_state_reduction_pct,decode_latency_cost_pct,dense_tokens_per_second,packed_tokens_per_second,total_growth_events,total_value_rows_copied
1,1,55.97098214285714,49.48332225177305,7.826136903388181,103.9866164197971,96.43915603966107,26,2240
1,2,55.97098214285714,49.48332225177305,6.439240346711905,125.49631181283631,117.90417838764021,26,2240
1,4,55.97098214285714,49.48332225177305,7.081868427028581,125.21933589385628,116.93794452156722,26,2240
16,1,54.25153459821428,50.368621709629025,11.832460218616237,1584.8709825639041,1417.1833289419828,109,153472
16,2,54.25153459821428,49.92876900913803,9.355451154070483,1914.233581639294,1750.4692829096716,53,74624
16,4,54.25153459821428,47.72950550668303,8.044765034533818,1888.367992024227,1747.7644487640443,28,39424
64,1,54.75289481026786,50.808754112963726,12.268051352106092,7448.4332386660035,6634.508347620193,110,609792
64,2,54.75289481026786,49.92904871198173,8.03645390919634,7359.606898438295,6812.151484186973,56,309248
64,4,54.75289481026786,47.72978520952673,6.702803059012008,7486.885957858349,7016.578518296024,28,157696
